Long15,Long30,LongDCA
-0.009292738,-0.009292738,-0.008303053
0.013722442,0.013722442,0.014743597
0.003598338,0.003598338,0.004594605
-0.002902476,-0.002902476,-0.001917188
0.007020531,0.007020531,0.008017535
0.002720626,0.002720626,0.003705477
0.002882788,0.002882788,0.003864162
0.003043642,0.003043642,0.004021395
0.004720128,0.004720128,0.005695593
-0.000335503,-0.000335503,0.000629556
0.001006999,0.001006999,0.001972746
0.000670708,0.000670708,0.00163423
0.001508043,0.001508043,0.002470798
0.003178836,0.003178836,0.00414082
0.005503703,0.005503703,0.00646394
0.00265384,0.00265384,0.003605206
0.001323375,0.001323375,0.002270066
0.001486866,0.001486866,0.002431567
0.010227697,0.010227697,0.011178332
0.011920297,0.011920297,0.012861998
-0.003066032,-0.003066032,-0.002150059
0.001942425,0.001942425,0.002864983
0.006461987,0.006461987,0.007386059
-0.001284077,-0.001284077,-0.00037384
-0.007393169,-0.007393169,-0.006488161
-0.001781023,-0.001781023,-0.000864955
0.009083487,0.009083487,0.010010328
-0.003054155,-0.003054155,-0.002147539
-0.008384392,-0.008384392,-0.007480682
-0.005853675,-0.005853675,-0.00494083
0.004416111,0.004416111,0.005342965
0.008304804,0.008304804,0.009230302
0.006136967,0.006136967,0.007052029
-0.003210289,-0.003210289,-0.002310077
0.003542705,0.003542705,0.004451115
0.000641865,0.000641865,0.001543634
0.003688246,0.003688246,0.004591367
0.003994248,0.003994248,0.004893516
0.007320162,0.007320162,0.008218015
0.00221169,0.00221169,0.003097709
-0.000157613,-0.000157613,0.000723581
0.006621441,0.006621441,0.007507968
0.001566218,0.001566218,0.00244172
0.001563753,0.001563753,0.00243712
-0.009055456,-0.009055456,-0.00819345
-0.000472696,-0.000472696,0.000403959
0.000945791,0.000945791,0.001823336
-0.000314961,-0.000314961,0.000559884
0.002835539,0.002835539,0.003712649
-0.004398351,-0.004398351,-0.003530788
0.002997775,0.002997775,0.003874879
0.010067626,0.010067626,0.010947503
-0.003270503,-0.003270503,-0.002411647
0.013437516,0.013437516,0.01431288
-0.001850185,-0.001850185,-0.001000192
-0.000617872,-0.000617872,0.000234023
-0.002627481,-0.002627481,-0.001777498
-0.001704649,-0.001704649,-0.000852365
-0.001086619,-0.001086619,-0.00023308
0.000466185,0.000466185,0.00132125
0.008543073,0.008543073,0.009403904
0.002002125,0.002002125,0.002849406
0.008300031,0.008300031,0.009150214
0.000914726,0.000914726,0.001751029
-0.00304607,-0.00304607,-0.002214532
0.002291506,0.002291506,0.003129352
0.005334522,0.005334522,0.00617229
0.008641601,0.008641601,0.009476969
0.001352833,0.001352833,0.002174378
-0.004653332,-0.004653332,-0.003838487
-0.000753974,-0.000753974,6.72E-05
0.001660142,0.001660142,0.00248326
0.034804835,0.034804835,0.035653084
-0.036109537,-0.036109537,-0.035346618
-0.005891224,-0.005891224,-0.005075556
0.000151983,0.000151983,0.000976795
-0.000759693,-0.000759693,6.36E-05
-0.020830091,-0.020830091,-0.020023421
0.01397517,0.01397517,0.014827582
0.003828484,0.003828484,0.004660035
-0.001373059,-0.001373059,-0.000549653
-0.002291491,-0.002291491,-0.00146839
-0.002143623,-0.002143623,-0.00131919
0.007211923,0.007211923,0.008045185
0.008226706,0.008226706,0.009054151
0.00392871,0.00392871,0.004745234
0.001204019,0.001204019,0.002014481
-0.001653533,-0.001653533,-0.000847008
0.000903433,0.000903433,0.001712709
-0.000902618,-0.000902618,-9.62E-05
-0.000301235,-0.000301235,0.000505763
0.001656891,0.001656891,0.00246506
0.004962436,0.004962436,0.005771278
0.003740835,0.003740835,0.004544058
0.004621303,0.004621303,0.005421594
-0.005935614,-0.005935614,-0.005148002
0.004179714,0.004179714,0.004979457
-0.006243482,-0.006243482,-0.005455961
-0.002542977,-0.002542977,-0.001748187
-0.00629871,-0.00629871,-0.005505527
-0.003773015,-0.003773015,-0.002973413
0.006362642,0.006362642,0.007172788
0.001956917,0.001956917,0.002757772
0,0,0.000797093
0.002554162,0.002554162,0.003352654
0.005245002,0.005245002,0.006042962
-0.002832484,-0.002832484,-0.00204569
-0.018687397,-0.018687397,-0.017911527
0.015691636,0.015691636,0.016509335
-0.000149903,-0.000149903,0.000641969
-0.007650795,-0.007650795,-0.006865368
-0.00529099,-0.00529099,-0.004498253
0.002735562,0.002735562,0.003538307
-0.004395286,-0.004395286,-0.00360106
-0.007763769,-0.007763769,-0.00696937
-0.009205247,-0.009205247,-0.008406434
0.008826262,0.008826262,0.009646507
